name,element,GW,assists,bonus,goals_scored,minutes,own_goals,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Jack Cork,163,8,0,0,0,16,0,0,0.0,-1462,0,4.8,1,-0.375
Jack Grealish,354,8,1,2,0,193,0,0,1.8,-377352,1,7.3,11,-2.208333333333334
Jack Harrison,661,8,1,3,1,122,0,0,0.0,2557,0,5.5,15,1.9523809523809523
Jack Hinshelwood,621,8,0,0,0,85,0,0,0.0,60,0,4.5,2,-0.16666666666666666
Jacob Bruun Larsen,608,8,0,0,1,135,0,0,0.0,-342,0,4.9,12,-1.375
Jacob Murphy,423,8,1,0,0,13,0,0,0.1,-10676,0,4.8,6,0.04166666666666696
Jacob Ramsey,55,8,0,0,1,48,0,0,0.1,-5169,0,5.9,7,-0.7916666666666665
Jadan Raymond,724,8,0,0,0,0,0,0,0.0,13,0,4.5,0,0.0
Jaden Philogene-Bidace,54,8,0,0,0,3,0,0,0.1,-8918,0,4.5,1,0.0
Jadon Sancho,397,8,0,0,0,76,0,0,0.4,-57644,0,6.7,3,-0.375
Jaidon Anthony,62,8,0,0,0,151,0,0,0.1,-9762,1,4.9,3,-0.375
Jairo Riedewald,239,8,0,0,0,86,0,0,0.1,-979,0,4.4,4,0.2916666666666667
Jakub Moder,144,8,0,0,0,0,0,0,0.1,-1241,0,4.4,0,0.0
Jamal Lowe,73,8,0,0,0,0,0,0,0.0,-1050,0,4.9,0,0.0
James Garner,250,8,1,2,1,616,0,0,0.1,5488,1,4.9,25,-2.958333333333334
James Maddison,504,8,5,5,2,668,0,0,37.9,2460537,2,8.1,47,-8.041666666666664
James McAtee,360,8,0,0,0,237,0,0,0.2,10860,1,4.4,8,-2.041666666666667
James McConnell,629,8,0,0,0,0,0,0,0.0,-384,0,4.5,0,0.0
James Milner,142,8,0,0,0,227,0,0,0.1,-12434,2,4.8,6,-1.0
James Ward-Prowse,664,8,3,4,2,620,0,0,13.8,1269867,1,6.3,37,-6.238095238095242
Jarrod Bowen,526,8,1,6,5,720,0,0,18.1,1267068,1,7.3,50,-9.416666666666664
Jean-Philippe Gbamin,251,8,0,0,0,0,0,0,0.0,-1780,0,4.4,0,0.0
Jean-Ricner Bellegarde,715,8,0,0,0,114,0,0,0.0,481,0,5.0,0,-0.2666666666666666
Jeff Hendrick,414,8,0,0,0,0,0,0,0.0,-3598,0,4.4,0,0.0
Jefferson Lerma Solís,231,8,0,0,0,360,0,0,0.1,-25291,0,4.7,9,-1.5
Jeffrey Schlupp,240,8,0,0,0,564,0,0,0.1,-4257,0,4.9,18,-3.5
Jeremy Sarmiento Morante,146,8,0,0,0,0,0,0,0.0,-1412,0,4.5,0,0.0
Jesurun Rak-Sakyi,657,8,0,0,0,73,0,0,0.0,1180,0,4.5,6,-0.5416666666666665
Joe Hodge,555,8,0,0,0,0,0,0,0.1,-3511,0,4.4,0,0.0
Joe Rothwell,81,8,0,0,0,270,0,0,0.0,-730,0,4.9,7,-0.458333333333333
Joe Willock,432,8,0,0,0,0,0,0,0.1,-16429,0,5.3,0,0.0
Joelinton Cássio Apolinário de Lira,416,8,0,0,0,288,0,0,0.4,-73131,1,5.8,6,-0.958333333333333
John Fleck,481,8,0,0,0,0,0,0,0.0,-626,0,4.9,0,0.0
John McGinn,50,8,1,2,1,657,0,0,0.7,12445,2,5.5,26,-4.166666666666668
Jonjo Shelvey,463,8,0,0,0,0,0,0,0.0,-2206,0,4.8,0,0.0
Jordan Ayew,221,8,2,0,0,654,0,0,0.4,-1918,2,5.5,23,-3.083333333333332
Jordan Clark,320,8,0,0,0,0,0,0,0.0,-827,0,4.9,0,0.0
Jordan Henderson,299,8,0,0,0,0,0,0,0.0,-758,0,5.0,0,0.0
Jorge Luiz Frello Filho,9,8,0,0,0,146,0,0,0.2,-7755,1,5.4,7,-0.875
Josh Bowler,440,8,0,0,0,0,0,0,0.0,-306,0,4.5,0,0.0
Josh Brownhill,161,8,0,0,1,491,0,0,0.2,-10154,1,4.8,16,-3.541666666666666
Josh Cullen,165,8,1,0,0,690,0,0,0.1,968,3,5.0,16,-3.416666666666666
Josh Dasilva,99,8,0,0,0,9,0,0,0.0,-8939,0,4.8,1,-0.125
João Palhinha Gonçalves,280,8,0,3,1,473,0,0,0.4,16308,3,5.0,18,-4.625
João Victor Gomes da Silva,559,8,1,0,0,624,0,0,0.1,-974,3,4.9,16,-3.083333333333334
Julio Enciso,130,8,2,0,0,68,0,0,0.6,-323961,1,5.1,8,-0.875
Justin Kluivert,72,8,0,0,0,334,0,0,0.2,-24494,0,4.7,9,-2.291666666666667
Jérémy Doku,678,8,0,2,1,327,0,0,1.5,138840,1,6.5,14,-3.333333333333334
Jóhann Berg Gudmundsson,170,8,1,0,0,171,0,0,0.0,-2485,1,4.9,7,-2.291666666666667
Kacper Kozłowski,137,8,0,0,0,0,0,0,0.0,-118,0,4.5,0,0.0
Kai Havertz,6,8,1,0,1,461,0,0,1.7,-296568,3,7.1,19,-1.833333333333334
Kalvin Phillips,364,8,0,0,0,70,0,0,0.0,-1760,0,4.8,3,-0.75
Kaoru Mitoma,143,8,3,6,3,665,0,0,40.6,291440,3,6.6,42,-8.541666666666664
Keane Lewis-Potter,107,8,0,0,0,218,0,0,0.0,-1554,0,4.8,8,-2.0
Kevin De Bruyne,349,8,0,0,0,22,0,0,1.7,-1266835,0,10.2,1,0.0
Kevin Schade,115,8,1,2,1,255,0,0,0.1,-3736,0,5.4,19,-5.0
Kobbie Mainoo,388,8,0,0,0,0,0,0,0.0,-1320,0,4.4,0,0.0
Leander Dendoncker,40,8,0,0,0,2,0,0,0.0,-1242,0,4.9,2,-0.7916666666666667
Leandro Trossard,26,8,0,3,1,173,0,0,1.8,-374715,0,6.6,14,-5.625
Leon Bailey,34,8,1,3,2,209,0,0,1.0,7068,1,5.5,23,-4.791666666666668
Lesley Ugochukwu,613,8,0,0,0,132,0,0,0.3,12173,0,4.4,7,-2.125
Lewis Cook,66,8,0,0,0,471,0,0,0.0,-1104,0,5.0,12,-3.0
Lewis Dobbin,624,8,0,0,0,117,0,0,0.1,2890,0,4.5,5,-0.875
Lewis Miley,635,8,0,0,0,0,0,0,0.0,-481,0,4.5,0,0.0
Lewis O'Brien,458,8,0,0,0,0,0,0,0.0,-1017,0,4.9,0,0.0
Louie Watson,339,8,0,0,0,0,0,0,0.2,-19861,0,4.4,0,0.0
Luca Koleosho,605,8,1,0,0,501,0,0,0.2,15603,0,5.0,18,-4.166666666666666
Lucas Tolentino Coelho de Lima,539,8,1,1,1,710,0,0,1.9,152,4,6.0,23,-5.0
Luis Díaz,303,8,0,1,2,544,0,0,9.5,221137,0,7.5,26,-3.25
Luis Sinisterra,705,8,0,0,0,81,0,0,0.0,454,0,5.5,3,0.06666666666666665
Luke Berry,317,8,0,0,0,26,0,0,0.0,-4073,0,4.8,2,0.125
Luke Cundle,550,8,0,0,0,0,0,0,0.0,-1664,0,4.5,0,0.0
