name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,value,transfers_balance,yellow_cards,total_points,mean_reversion
Gabriel Fernando de Jesus,28,15,0,1,0,90,0,0,0,6420680.0,80.0,59645,0,2,0.8205128205128212
Gabriel Fernando de Jesus,28,16,0,1,0,90,0,0,0,6357613.0,80.0,-71731,0,2,0.5952380952380958
Gabriel Fernando de Jesus,28,17,0,0,0,0,0,0,0,4183468.0,80.0,-2180978,0,0,0.2666666666666666
Gabriel Fernando de Jesus,28,18,0,0,0,0,0,0,0,3575324.0,80.0,-616984,0,0,2.979166666666667
Gabriel Fernando de Jesus,28,19,0,0,0,0,0,0,0,3388877.0,80.0,-190663,0,0,3.392156862745098
Gabriel Fernando de Jesus,28,20,0,0,0,0,0,0,0,3187556.0,79.0,-200638,0,0,3.8333333333333335
Gabriel Fernando de Jesus,28,21,0,0,0,0,0,0,0,3084111.0,79.0,-106949,0,0,3.6315789473684217
Gabriel Fernando de Jesus,28,22,0,0,0,0,0,0,0,2954923.0,79.0,-129050,0,0,3.45
Gabriel Fernando de Jesus,28,23,0,0,0,0,0,0,0,2912838.0,79.0,-45325,0,0,3.2857142857142856
Gabriel Fernando de Jesus,28,23,0,0,0,0,0,0,0,2912838.0,79.0,-45325,0,0,3.1363636363636362
Gabriel Fernando de Jesus,28,24,0,0,0,0,0,0,0,2880938.0,79.0,-32988,0,0,3.0
Gabriel Fernando de Jesus,28,25,0,0,0,0,0,0,0,2853521.0,79.0,-26785,0,0,2.875
Gabriel Fernando de Jesus,28,25,0,0,0,0,0,0,0,2853521.0,79.0,-26785,0,0,2.76
Gabriel Fernando de Jesus,28,26,0,0,0,0,0,0,0,2833722.0,79.0,-21749,0,0,2.6538461538461537
Gabriel Fernando de Jesus,28,27,0,0,0,13,0,0,0,2814464.0,79.0,-19715,0,1,2.592592592592593
Gabriel Fernando de Jesus,28,28,0,0,0,25,0,0,0,2852296.0,79.0,28263,0,1,2.2023809523809517
Gabriel Fernando de Jesus,28,29,3,0,0,59,0,0,0,2858114.0,79.0,10866,0,12,2.195402298850575
Gabriel Fernando de Jesus,28,30,1,0,1,79,0,0,0,3028101.0,80.0,164000,0,7,-1.666666666666667
Gabriel Fernando de Jesus,28,31,2,0,2,66,0,0,0,3171370.0,81.0,139743,1,7,-3.5376344086021514
Gabriel Fernando de Jesus,28,32,0,0,3,90,0,0,0,3747685.0,82.0,283466,0,2,-5.572916666666666
Gabriel Fernando de Jesus,28,33,0,0,3,80,0,0,0,3280369.0,82.0,-173341,0,2,-2.2727272727272725
Gabriel Fernando de Jesus,28,34,1,0,1,90,0,0,0,3174965.0,81.0,-96389,0,7,-0.4901960784313726
Gabriel Fernando de Jesus,28,35,0,1,0,86,0,0,0,3188179.0,81.0,-2087,0,2,-0.5238095238095237
Gabriel Fernando de Jesus,28,36,0,0,1,76,0,0,0,3163606.0,81.0,-25961,0,2,-0.5555555555555554
Gabriel Fernando de Jesus,28,37,0,0,1,90,0,0,0,3175332.0,81.0,10040,1,1,-0.6126126126126126
Gabriel Fernando de Jesus,28,38,3,1,0,90,0,0,0,3243753.0,81.0,61190,0,12,1.6228070175438594
