name,element,GW,bonus,assists,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points
Antonee Robinson,283,8,1,0,2,13,630,1,0,0,0.6,-5396,1,4.5,15
Kenny Tete,285,8,0,0,2,8,427,0,0,0,0.4,-22296,2,4.4,12
Tosin Adarabioyo,286,8,0,0,0,0,1,0,0,0,0.0,-4284,0,4.3,1
Calvin Bassey,610,8,0,0,0,3,125,0,0,0,0.2,-15493,0,4.4,1
Luc De Fougerolles,625,8,0,0,0,0,0,0,0,0,0.1,-499,0,4.0,0
Timothy Castagne,688,8,3,0,2,4,377,0,0,0,0.7,67936,1,4.5,18
Fodé Ballo-Touré,707,8,0,0,0,0,0,0,0,0,0.0,696,0,4.5,0
Trent Alexander-Arnold,290,8,3,1,1,6,421,0,0,0,8.0,-949326,2,7.9,18
Joe Gomez,298,8,0,0,1,3,423,0,0,0,0.5,8600,1,4.5,14
Ibrahima Konaté,302,8,0,0,0,4,221,0,0,0,1.2,-66124,0,4.9,7
Joel Matip,305,8,0,0,1,6,508,1,0,0,0.5,13253,0,4.9,13
Nathaniel Phillips,306,8,0,0,0,0,0,0,0,0,0.1,-12887,0,4.0,0
Andrew Robertson,307,8,3,0,1,9,720,0,0,0,6.8,200652,1,6.6,26
Konstantinos Tsimikas,311,8,0,0,0,0,4,0,0,0,0.1,-4500,0,4.4,1
Sepp van den Berg,312,8,0,0,0,0,0,0,0,0,0.0,-1932,0,4.0,0
Virgil van Dijk,313,8,2,2,0,8,477,0,0,0,6.8,-332476,1,6.0,13
Jarell Quansah,626,8,0,0,0,1,114,0,0,0,0.1,4190,0,4.0,4
Luke Chambers,726,8,0,0,0,0,0,0,0,0,0.0,48,0,4.0,0
Mads Juel Andersen,315,8,1,0,0,6,371,0,0,0,1.8,104069,1,4.0,13
Amari'i Bell,316,8,0,0,0,12,560,0,0,0,4.8,-319462,0,4.0,9
Reece Burke,318,8,0,1,0,11,541,0,0,0,0.2,10593,1,4.0,12
Alfie Doughty,321,8,4,1,0,10,472,0,0,0,0.2,5612,0,4.4,18
Gabriel Osho,330,8,0,0,0,0,0,0,0,0,0.0,-891,0,4.4,0
Dan Potts,333,8,0,0,0,0,0,0,0,0,0.1,-3099,0,3.9,0
Teden Mengi,393,8,0,0,0,2,155,0,0,0,0.7,47678,0,3.9,3
Ryan Giles,553,8,0,0,0,8,268,0,0,0,0.1,-4448,0,4.4,4
Tom Lockyer,575,8,1,0,0,13,585,0,0,0,0.2,2357,2,4.3,14
Issa Kaboré,602,8,0,1,0,8,476,0,0,0,6.8,101367,2,4.0,13
Aidan Francis-Clarke,648,8,0,0,0,0,0,0,0,0,0.0,-377,0,4.0,0
Joseph Johnson,682,8,0,0,0,0,0,0,0,0,0.0,793,0,4.0,0
Manuel Akanji,341,8,1,0,3,4,540,0,0,0,7.5,196458,1,5.0,23
Nathan Aké,342,8,1,0,1,5,461,0,0,0,6.3,86395,0,5.1,22
João Cancelo,346,8,0,0,0,0,0,0,0,0,1.2,-238610,0,5.8,0
Rúben Gato Alves Dias,350,8,1,0,2,6,630,1,0,0,8.2,34783,0,5.5,20
Aymeric Laporte,357,8,0,0,0,0,11,0,0,0,0.1,-30837,0,4.9,1
Rico Lewis,358,8,0,0,2,0,147,0,0,0,0.3,-18242,0,4.3,14
Sergio Gómez,366,8,0,1,0,0,15,0,0,0,1.2,13711,0,3.9,5
John Stones,368,8,0,0,0,1,22,0,0,0,3.1,-2082259,0,5.3,1
Kyle Walker,369,8,2,1,3,6,720,0,0,0,16.3,1055325,1,5.3,31
Joško Gvardiol,616,8,1,0,2,3,461,0,0,0,4.7,82094,1,5.0,19
Alex Telles,370,8,0,0,0,0,0,0,0,0,0.0,-660,0,4.5,0
Brandon Williams,374,8,0,0,0,0,0,0,0,0,0.1,-9628,0,4.0,0
Eric Bailly,375,8,0,0,0,0,0,0,0,0,0.1,-10803,0,4.0,0
Diogo Dalot Teixeira,377,8,1,0,1,11,564,0,0,0,1.8,-15078,1,4.9,14
Álvaro Fernández Carreras,380,8,0,0,0,0,0,0,0,0,0.2,-17186,0,4.0,0
Victor Lindelöf,386,8,0,0,1,6,510,0,0,0,0.3,4714,1,4.5,14
Harry Maguire,387,8,1,1,0,3,116,0,0,0,0.3,-27292,0,4.2,7
Tyrell Malacia,389,8,0,0,0,0,0,0,0,0,0.0,-3766,0,4.3,0
Lisandro Martínez,391,8,0,1,0,8,375,1,0,0,3.0,-416354,2,4.7,5
Raphaël Varane,395,8,2,0,1,5,322,0,0,0,2.8,-110257,0,5.0,18
Luke Shaw,398,8,0,0,1,2,180,0,0,0,3.4,-2044952,1,5.2,6
Aaron Wan-Bissaka,401,8,3,1,1,6,340,0,0,0,2.3,-77872,2,4.5,15
Sergio Reguilón,508,8,0,0,1,3,162,0,0,0,0.6,30434,1,4.4,6
Jonny Evans,703,8,3,1,1,3,184,0,0,0,1.0,98403,0,4.0,14
Lewis Hall,204,8,0,0,0,0,9,0,0,0,0.2,-5989,0,4.4,1
Harrison Ashby,404,8,0,0,0,0,0,0,0,0,0.0,-2003,0,4.0,0
Sven Botman,405,8,4,1,2,3,446,0,0,0,16.3,-127724,1,4.7,30
Dan Burn,407,8,0,0,3,9,720,0,0,0,10.5,726883,1,4.6,30
Emil Krafth,417,8,0,0,0,0,0,0,0,0,0.0,-842,0,4.4,0
Jamaal Lascelles,419,8,0,0,1,2,196,0,0,0,1.4,94651,0,3.9,8
Jamal Lewis,420,8,0,0,0,0,0,0,0,0,0.0,-753,0,4.0,0
Javier Manquillo Gaitán,422,8,0,0,0,0,0,0,0,0,0.1,-1465,0,4.0,0
Fabian Schär,427,8,2,0,3,9,720,0,0,0,6.4,383713,1,5.2,26
Matt Targett,428,8,0,0,0,4,77,0,0,0,0.1,-6551,1,4.3,2
Kieran Trippier,430,8,10,5,3,9,699,0,0,0,46.5,1328868,1,6.8,49
Kell Watts,431,8,0,0,0,0,0,0,0,0,0.1,-6593,0,4.0,0
Paul Dummett,581,8,0,0,0,0,0,0,0,0,0.3,7085,0,3.9,0
Tino Livramento,633,8,0,0,0,0,25,0,0,0,0.2,-8851,0,4.4,3
Alex Murphy,634,8,0,0,0,0,0,0,0,0,0.3,-8082,0,3.9,0
Nuno Varela Tavares,23,8,0,0,0,2,93,0,0,0,0.3,-2244,2,4.0,0
Serge Aurier,436,8,3,2,1,9,531,0,0,0,1.7,89055,2,4.5,20
Giulian Biancone,438,8,0,0,0,0,0,0,0,0,0.1,-5520,0,3.9,0
Willy Boly,439,8,3,0,2,9,608,0,0,0,0.6,33013,1,4.5,27
Steve Cook,441,8,0,0,0,0,0,0,0,0,0.0,-2151,0,4.5,0
Mohamed Dräger,444,8,0,0,0,0,0,0,0,0,0.1,-7974,0,4.0,0
Felipe Augusto de Almeida Monteiro,445,8,0,0,0,0,0,0,0,0,0.0,-1412,0,4.4,0
Richie Laryea,452,8,0,0,0,0,0,0,0,0,0.0,-459,0,4.5,0
Loïc Mbe Soh,454,8,0,0,0,0,0,0,0,0,0.1,-5642,0,4.0,0
Scott McKenna,455,8,1,0,1,6,416,0,0,0,0.1,-2497,0,4.5,12
Moussa Niakhaté,457,8,0,0,0,4,179,0,0,0,0.0,-1043,0,4.5,1
Jonathan Panzo,460,8,0,0,0,0,0,0,0,0,0.1,-6790,0,4.0,0
Omar Richards,461,8,0,0,0,0,0,0,0,0,0.0,-3447,0,4.4,0
Harry Toffolo,465,8,0,1,1,0,120,0,0,0,0.1,-1221,0,4.4,10
Neco Williams,467,8,0,0,0,1,108,0,0,0,0.2,-8917,0,4.4,3
Joe Worrall,469,8,3,0,1,7,425,0,0,0,0.1,-1616,0,4.5,12
Olu Aina,604,8,0,0,1,8,397,0,0,0,0.1,-2447,3,4.5,8
Josh Powell,637,8,0,0,0,0,0,0,0,0,0.1,-941,0,4.0,0
Gonzalo Montiel,679,8,0,0,0,1,166,0,0,0,0.0,1818,2,4.5,2
Murillo Santiago Costa dos Santos,696,8,1,0,1,1,180,0,0,0,0.0,1811,0,4.5,9
Andrew Omobamidele,711,8,0,0,0,0,0,0,0,0,0.0,84,0,4.5,0
