name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,value,transfers_balance,yellow_cards,total_points,mean_reversion
Mason Burstow,623,6,0,0,1,8,0,0,0,0.1,4.5,-6589,0,2,-0.5
Matheus Santos Carneiro Da Cunha,590,6,0,1,10,470,0,0,0,0.6,5.5,17943,0,16,-1.666666666666666
Michael Obafemi,174,6,0,0,0,0,0,0,0,0.0,4.9,-2736,0,0,0.0
Michail Antonio,523,6,4,3,4,448,0,0,0,4.2,5.9,119791,1,23,-3.833333333333334
Nathan Fraser,704,6,0,0,0,0,0,0,0,0.0,4.5,3049,0,0,0.0
Neal Maupay,258,6,0,1,2,128,0,0,0,0.7,4.9,-48513,0,4,-0.16666666666666696
Nicolas Jackson,211,6,1,3,5,509,0,0,0,8.3,6.9,-677775,5,12,-2.5
Norberto Bercique Gomes Betuncal,691,6,0,1,3,217,0,0,0,0.3,6.0,21976,0,6,0.0
Odsonne Edouard,225,6,6,2,4,518,0,0,0,5.9,5.6,367569,0,34,-2.833333333333332
Oliver McBurnie,485,6,0,0,5,199,0,0,0,0.0,5.4,-2385,0,5,-1.1666666666666663
Ollie Watkins,60,6,3,2,10,500,0,0,0,17.5,7.9,-654271,0,31,-1.333333333333332
Pierre-Emerick Aubameyang,188,6,0,0,0,0,0,0,0,0.0,6.5,-1795,0,0,0.0
Rasmus Højlund,617,6,0,1,4,176,0,0,0,4.6,7.1,328262,0,5,0.16666666666666674
Raúl Jiménez,558,6,0,2,8,451,0,0,0,0.9,5.4,-32279,1,10,-0.666666666666667
Rhian Brewster,477,6,0,0,0,0,0,0,0,0.0,4.9,-4402,0,0,0.0
Rodrigo Muniz Carvalho,279,6,0,0,2,13,0,0,0,0.6,4.4,7994,0,2,-0.3333333333333335
Romelu Lukaku Bolingoli,207,6,0,0,0,0,0,0,0,0.3,6.8,-48426,0,0,0.0
Ronnie Stutter,717,6,0,0,0,0,0,0,0,0.0,4.5,648,0,0,0.0
Sam Surridge,464,6,0,0,0,0,0,0,0,0.2,4.5,-20753,0,0,0.0
Sasa Kalajdzic,562,6,1,0,1,16,0,0,0,0.2,5.0,-1998,0,8,-2.166666666666667
Shola Shoretire,399,6,0,0,0,0,0,0,0,0.3,4.4,5166,0,0,0.0
Taiwo Awoniyi,437,6,3,1,7,407,0,0,0,5.8,6.6,431881,1,31,-3.833333333333332
Thomas Cannon,649,6,0,0,0,1,0,0,0,0.0,4.5,-490,0,1,-0.33333333333333337
Wesley Moraes Ferreira da Silva,61,6,0,0,0,0,0,0,0,0.0,5.0,-682,0,0,0.0
William Osula,490,6,0,0,3,233,0,0,0,1.0,4.4,-57165,2,4,-0.6666666666666665
Wout Weghorst,183,6,0,0,0,0,0,0,0,0.1,5.5,-14025,0,0,0.0
Yoane Wissa,119,6,5,1,9,509,0,0,0,12.2,6.0,564607,1,27,-2.5
Youssef Ramalho Chermiti,645,6,0,0,1,26,0,0,0,0.0,4.9,-1800,1,1,0.0
Zeki Amdouni,594,6,2,0,10,334,0,0,0,0.3,5.4,10277,0,15,-0.5
