name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,value,transfers_balance,yellow_cards,total_points,mean_reversion
Antoine Semenyo,82,7,1,0,8,254,0,0,0,2.9,4.5,167062,1,15,-1.7619047619047628
Antoine Semenyo,82,8,1,0,8,254,0,0,0,2.8,4.5,156825,1,15,-2.0
Antwoine Hackford,656,1,0,0,0,3,0,0,0,0.0,4.5,988,0,1,0.0
Antwoine Hackford,656,2,0,0,1,11,0,0,0,0.1,4.5,2522,0,2,0.0
Antwoine Hackford,656,3,0,0,1,11,0,0,0,0.1,4.5,2519,0,2,0.0
Antwoine Hackford,656,4,0,0,1,11,0,0,0,0.1,4.5,2211,0,2,0.08333333333333326
Antwoine Hackford,656,5,0,0,1,11,0,0,0,0.1,4.5,2239,0,2,-0.19999999999999996
Antwoine Hackford,656,6,0,0,1,11,0,0,0,0.1,4.5,2198,0,2,-0.16666666666666674
Antwoine Hackford,656,7,0,0,1,11,0,0,0,0.1,4.5,2045,0,2,-0.1428571428571428
Antwoine Hackford,656,8,0,0,1,11,0,0,0,0.1,4.5,1928,0,2,-0.125
Aribim Pepple,331,1,0,0,0,0,0,0,0,0.2,4.5,-859,0,0,0.0
Aribim Pepple,331,2,0,0,0,0,0,0,0,0.2,4.5,-4200,0,0,0.0
Aribim Pepple,331,3,0,0,0,0,0,0,0,0.2,4.5,-6513,0,0,0.0
Aribim Pepple,331,4,0,0,0,0,0,0,0,0.1,4.5,-8931,0,0,0.0
Aribim Pepple,331,5,0,0,0,0,0,0,0,0.1,4.5,-10188,0,0,0.0
Aribim Pepple,331,6,0,0,0,0,0,0,0,0.1,4.5,-11587,0,0,0.0
Aribim Pepple,331,7,0,0,0,0,0,0,0,0.1,4.5,-13139,0,0,0.0
Aribim Pepple,331,8,0,0,0,0,0,0,0,0.1,4.5,-13783,0,0,0.0
Armando Broja,193,1,0,0,0,0,0,0,0,0.1,5.0,-1080,0,0,0.0
Armando Broja,193,2,0,0,0,0,0,0,0,0.0,5.0,-2099,0,0,0.0
Armando Broja,193,3,0,0,0,0,0,0,0,0.0,4.9,-2453,0,0,0.0
Armando Broja,193,4,0,0,0,0,0,0,0,0.0,4.9,-2840,0,0,0.0
Armando Broja,193,5,0,0,0,0,0,0,0,0.0,4.9,-2884,0,0,0.0
Armando Broja,193,6,0,0,0,11,0,0,0,0.1,4.9,590,0,1,0.16666666666666666
Armando Broja,193,7,0,1,0,75,0,0,0,0.3,4.9,21506,0,7,0.8095238095238095
Armando Broja,193,8,0,1,1,120,0,0,0,0.5,4.9,38035,0,8,-0.6666666666666665
Bénie Traoré,593,1,0,0,1,86,0,0,0,0.1,5.5,-42,0,2,0.0
Bénie Traoré,593,2,0,0,2,167,0,0,0,0.1,5.5,-474,0,4,0.0
Bénie Traoré,593,3,0,0,4,257,0,0,0,0.1,5.5,-937,0,6,0.0
Bénie Traoré,593,4,0,0,4,272,0,0,0,0.1,5.5,-580,0,7,0.75
Bénie Traoré,593,5,0,0,4,272,0,0,0,0.1,5.4,-2683,0,7,-0.4666666666666668
Bénie Traoré,593,6,0,0,9,317,0,0,0,0.0,5.3,-3399,0,8,-1.0
Bénie Traoré,593,7,0,0,9,317,0,0,0,0.0,5.3,-3749,0,8,-1.333333333333333
Bénie Traoré,593,8,0,0,9,317,0,0,0,0.0,5.3,-3952,0,8,-1.416666666666667
Callum Wilson,433,1,0,0,0,22,0,0,0,8.9,8.0,-48132,0,5,0.0
Callum Wilson,433,2,0,0,0,46,0,0,0,7.1,7.9,-184338,0,6,0.0
Callum Wilson,433,3,0,0,2,64,0,0,0,6.2,7.9,-263588,0,7,0.0
Callum Wilson,433,4,1,0,4,96,0,0,0,5.3,7.8,-350138,0,13,1.75
Callum Wilson,433,5,1,1,4,186,0,0,0,5.3,7.8,-347536,1,18,1.1333333333333346
Callum Wilson,433,6,1,2,4,255,0,0,0,6.2,7.8,-265490,1,24,-0.5
Callum Wilson,433,7,1,2,4,255,0,0,0,4.8,7.8,-392780,1,24,-4.4761904761904745
Callum Wilson,433,8,1,2,5,259,0,0,0,4.2,7.8,-460447,1,25,-6.75
Cameron Archer,33,1,0,0,0,0,0,0,0,6.1,4.5,-15916,0,0,0.0
Cameron Archer,33,2,0,0,0,5,0,0,0,5.3,4.5,-66753,1,0,0.0
Cameron Archer,33,3,0,0,0,5,0,0,0,4.9,4.5,-92839,1,0,0.0
Cameron Archer,33,4,3,0,2,79,0,0,0,5.5,4.5,-37683,1,12,3.0
Cameron Archer,33,5,3,0,4,169,0,0,0,6.2,4.5,38169,2,13,1.0
Cameron Archer,33,6,3,0,12,259,0,0,0,6.8,4.5,98105,2,15,-1.666666666666667
Cameron Archer,33,7,3,0,14,337,0,0,0,7.8,4.5,192786,2,17,-5.190476190476192
Cameron Archer,33,8,3,0,16,415,0,0,0,8.3,4.5,245537,2,19,-5.5
Carlos Vinícius Alves Morais,287,1,0,0,0,0,0,0,0,4.0,5.0,-29703,0,0,0.0
Carlos Vinícius Alves Morais,287,2,0,0,0,0,0,0,0,3.0,4.9,-101815,0,0,0.0
Carlos Vinícius Alves Morais,287,3,0,0,0,0,0,0,0,2.6,4.9,-138022,0,0,0.0
Carlos Vinícius Alves Morais,287,4,0,0,0,0,0,0,0,2.2,4.8,-176583,0,0,0.0
Carlos Vinícius Alves Morais,287,5,2,0,0,28,0,0,0,2.0,4.8,-188954,0,7,1.4
Carlos Vinícius Alves Morais,287,6,2,0,0,39,0,0,0,2.0,4.8,-191604,0,8,0.16666666666666652
Carlos Vinícius Alves Morais,287,7,2,0,0,76,0,0,0,2.0,4.8,-197919,0,9,-1.5714285714285716
Carlos Vinícius Alves Morais,287,8,2,0,1,153,0,0,0,1.9,4.8,-199793,0,11,-3.625
Carlton Morris,326,1,2,0,4,90,0,0,0,1.3,5.5,1021,0,8,0.0
Carlton Morris,326,2,2,0,4,90,0,0,0,1.4,5.5,3712,0,8,0.0
Carlton Morris,326,3,2,0,7,180,0,0,0,1.4,5.5,2138,0,10,0.0
Carlton Morris,326,4,2,0,9,270,0,0,0,1.5,5.5,9606,0,15,1.583333333333334
Carlton Morris,326,5,2,0,10,343,0,0,0,2.0,5.5,59966,0,17,0.5999999999999996
Carlton Morris,326,6,5,0,11,433,0,0,0,4.7,5.5,318124,0,26,0.0
Carlton Morris,326,7,7,0,14,600,0,0,0,7.7,5.6,635336,0,36,-2.19047619047619
Carlton Morris,326,8,7,0,15,690,0,0,0,6.9,5.6,552806,1,37,-6.708333333333332
Cauley Woodrow,340,1,0,0,1,2,0,0,0,0.8,4.5,-264,0,1,0.0
Cauley Woodrow,340,2,0,0,1,2,0,0,0,0.8,4.5,-3596,0,1,0.0
Cauley Woodrow,340,3,0,0,1,2,0,0,0,0.7,4.5,-8141,0,1,0.0
Cauley Woodrow,340,4,0,0,2,8,0,0,0,0.6,4.5,-13890,0,2,0.25
Cauley Woodrow,340,5,0,0,2,17,0,0,0,0.6,4.4,-16247,0,3,0.26666666666666683
Cauley Woodrow,340,6,0,0,2,35,0,0,0,0.9,4.4,6618,0,4,0.0
Cauley Woodrow,340,7,0,0,2,42,0,0,0,0.9,4.4,12524,0,5,-0.5714285714285716
Cauley Woodrow,340,8,0,0,2,65,0,0,0,0.9,4.4,14886,0,6,-1.125
Chiedozie Ogbene,328,1,0,0,2,14,0,0,0,0.2,5.0,-1025,0,1,0.0
Chiedozie Ogbene,328,2,0,0,2,14,0,0,0,0.1,5.0,-3011,0,1,0.0
Chiedozie Ogbene,328,3,0,0,2,27,0,0,0,0.1,5.0,-3957,0,2,0.0
Chiedozie Ogbene,328,4,0,0,3,39,0,0,0,0.1,4.9,-5069,0,3,0.41666666666666674
Chiedozie Ogbene,328,5,0,0,3,55,0,0,0,0.1,4.9,-5736,0,4,0.20000000000000018
Chiedozie Ogbene,328,6,0,0,4,145,0,0,0,0.1,4.9,-5941,0,6,-0.16666666666666652
Chiedozie Ogbene,328,7,0,0,7,325,0,0,0,0.1,4.9,-5848,0,10,-0.47619047619047583
Chiedozie Ogbene,328,8,0,0,8,415,0,0,0,0.1,4.9,-6074,0,12,-1.791666666666667
Chris Wood,468,1,0,0,0,1,0,0,0,0.6,5.0,-2665,0,1,0.0
Chris Wood,468,2,2,0,0,7,0,0,0,0.7,5.0,1638,0,8,0.0
Chris Wood,468,3,2,0,0,16,0,0,0,0.7,5.0,721,0,9,0.0
Chris Wood,468,4,2,0,0,41,0,0,0,0.6,5.0,-3736,0,10,1.0
Chris Wood,468,5,2,0,0,43,0,0,0,0.6,5.0,-6546,0,11,-1.2000000000000002
Chris Wood,468,6,2,0,0,58,0,0,0,0.5,5.0,-10551,0,12,-1.5
Chris Wood,468,7,2,0,0,67,0,0,0,0.5,4.9,-13476,0,13,-1.8571428571428577
Chris Wood,468,8,2,1,0,142,0,0,0,0.5,4.9,-14243,0,15,-2.125
Christopher Nkunku,212,1,0,0,0,0,0,0,0,1.2,7.5,-48825,0,0,0.0
Christopher Nkunku,212,2,0,0,0,0,0,0,0,0.8,7.4,-83518,0,0,0.0
Christopher Nkunku,212,3,0,0,0,0,0,0,0,0.7,7.4,-93051,0,0,0.0
Christopher Nkunku,212,4,0,0,0,0,0,0,0,0.6,7.3,-102480,0,0,0.0
Christopher Nkunku,212,5,0,0,0,0,0,0,0,0.6,7.3,-105115,0,0,0.0
Christopher Nkunku,212,6,0,0,0,0,0,0,0,0.6,7.3,-107457,0,0,0.0
Christopher Nkunku,212,7,0,0,0,0,0,0,0,0.5,7.3,-109139,0,0,0.0
Christopher Nkunku,212,8,0,0,0,0,0,0,0,0.5,7.3,-109849,0,0,0.0
Cody Gakpo,297,1,0,0,1,65,0,0,0,6.5,7.5,-17122,0,2,0.0
Cody Gakpo,297,2,0,0,2,127,0,0,0,5.4,7.4,-119129,0,4,0.0
Cody Gakpo,297,3,0,0,3,184,0,0,0,4.6,7.4,-190357,0,5,0.0
Cody Gakpo,297,4,0,0,3,209,0,0,0,3.6,7.3,-285132,0,6,0.5833333333333335
Cody Gakpo,297,5,1,0,4,264,0,0,0,3.4,7.3,-307336,0,12,0.7999999999999998
Cody Gakpo,297,6,1,0,4,273,0,0,0,3.1,7.3,-336167,0,13,-0.666666666666667
Cody Gakpo,297,7,3,0,5,318,0,0,0,2.8,7.2,-362210,0,20,-1.4761904761904763
Cody Gakpo,297,8,3,0,5,318,0,0,0,2.5,7.2,-398019,0,20,-4.75
Dane Scarlett,640,1,0,0,0,0,0,0,0,0.4,4.5,564,0,0,0.0
Dane Scarlett,640,2,0,0,0,0,0,0,0,0.4,4.5,-1805,0,0,0.0
Dane Scarlett,640,3,0,0,0,0,0,0,0,0.3,4.5,-4052,0,0,0.0
Dane Scarlett,640,4,0,0,0,0,0,0,0,0.3,4.5,-10773,0,0,0.0
Dane Scarlett,640,5,0,0,0,0,0,0,0,0.2,4.5,-13616,0,0,0.0
Dane Scarlett,640,6,0,0,0,0,0,0,0,0.2,4.5,-15852,0,0,0.0
Dane Scarlett,640,7,0,0,0,0,0,0,0,0.2,4.5,-17719,0,0,0.0
Dane Scarlett,640,8,0,0,0,0,0,0,0,0.2,4.5,-18677,0,0,0.0
Daniel Jebbison,483,1,0,0,0,0,0,0,0,0.0,5.0,-230,0,0,0.0
Daniel Jebbison,483,2,0,0,0,0,0,0,0,0.0,5.0,-577,0,0,0.0
Daniel Jebbison,483,3,0,0,0,0,0,0,0,0.0,4.9,-698,0,0,0.0
Daniel Jebbison,483,4,0,0,0,0,0,0,0,0.0,4.9,-845,0,0,0.0
