name,element,GW,bonus,assists,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Reece James,206,7,0,0,0,1,75,0,0,0,3.3,-1197259,0,5.3,2,0.0
Rhys Norrington-Davies,487,7,0,0,0,0,0,0,0,0,0.1,-201,0,3.9,0,0.0
Richie Laryea,452,7,0,0,0,0,0,0,0,0,0.0,-455,0,4.5,0,0.0
Rico Henry,103,7,0,1,1,5,401,0,0,0,2.1,-50204,1,4.5,13,-1.9523809523809528
Rico Lewis,358,7,0,0,1,0,80,0,0,0,0.3,-21477,0,4.3,8,-0.666666666666667
Rob Holding,7,7,0,0,0,0,0,0,0,0,0.1,-6103,0,4.4,0,0.0
Ryan Fredericks,68,7,0,0,0,0,0,0,0,0,0.0,-1344,0,4.4,0,0.0
Ryan Giles,553,7,0,0,0,8,268,0,0,0,0.1,-3392,0,4.5,4,-1.190476190476191
Ryan Sessegnon,514,7,0,0,0,0,0,0,0,0,0.0,-370,0,4.4,0,0.0
Rúben Gato Alves Dias,350,7,1,0,2,5,540,1,0,0,8.4,58428,0,5.5,18,-3.333333333333334
Santiago Bueno,697,7,0,0,0,0,0,0,0,0,0.0,291,0,4.5,0,0.0
Scott McKenna,455,7,1,0,1,6,416,0,0,0,0.1,-2212,0,4.5,12,-3.7619047619047623
Seamus Coleman,247,7,0,0,0,0,0,0,0,0,0.0,-3703,0,4.4,0,0.0
Sepp van den Berg,312,7,0,0,0,0,0,0,0,0,0.0,-1881,0,4.0,0,0.0
Serge Aurier,436,7,3,2,1,9,486,0,0,0,1.7,93458,2,4.5,19,-3.7142857142857135
Sergio Gómez,366,7,0,1,0,0,15,0,0,0,1.2,13208,0,3.9,5,-1.9523809523809528
Sergio Reguilón,508,7,0,0,1,3,162,0,0,0,0.7,41227,1,4.4,6,-0.4761904761904763
Steve Cook,441,7,0,0,0,0,0,0,0,0,0.0,-2132,0,4.5,0,0.0
